name,personId
T.J. McConnell,204456
Myles Turner,1626167
Pascal Siakam,1627783
Alex Caruso,1627936
Isaiah Hartenstein,1628392
Tony Bradley,1628396
Thomas Bryant,1628418
Shai Gilgeous-Alexander,1628983
Kenrich Williams,1629026
Andrew Nembhard,1629614
Luguentz Dort,1629652
Obi Toppin,1630167
Tyrese Haliburton,1630169
Aaron Nesmith,1630174
Aaron Wiggins,1630598
Chet Holmgren,1631096
Bennedict Mathurin,1631097
Jalen Williams,1631114
Ousmane Dieng,1631172
Cason Wallace,1641717
Ben Sheppard,1641767
Dillon Jones,1641794
Johnny Furphy,1642277
Ajay Mitchell,1642349
James Johnson,201949
Isaiah Joe,1630198
Jaylin Williams,1631119
Delon Wright,1626153
Karl-Anthony Towns,1626157
OG Anunoby,1628384
Josh Hart,1628404
Mikal Bridges,1628969
Jalen Brunson,1628973
Mitchell Robinson,1629011
Landry Shamet,1629013
Precious Achiuwa,1630173
Miles McBride,1630540
Ariel Hukporti,1630574
Jarace Walker,1641716
Tyler Kolek,1642278
Pacome Dadiet,1642359
Mike Conley,201144
Rudy Gobert,203497
Julius Randle,203944
Donte DiVincenzo,1628978
Nickeil Alexander-Walker,1629638
Naz Reid,1629675
Anthony Edwards,1630162
Jaden McDaniels,1630183
Terrence Shannon Jr.,1630545
Luka Garza,1630568
Josh Minott,1631169
Jaylen Clark,1641740
Rob Dillingham,1642265
Leonard Miller,1631159
Cameron Payne,1626166
Russell Westbrook,201566
Aaron Gordon,203932
Nikola Jokic,203999
Jamal Murray,1627750
Michael Porter Jr.,1629008
Jalen Pickett,1629618
Zeke Nnaji,1630192
Julian Strawther,1631124
Christian Braun,1631128
Peyton Watson,1631212
Hunter Tyson,1641816
P.J. Tucker,200782
Al Horford,201143
Jrue Holiday,201950
Kristaps Porzingis,204001
Jaylen Brown,1627759
Derrick White,1628401
Luke Kornet,1628436
Torrey Craig,1628470
Neemias Queta,1629674
Payton Pritchard,1630202
Xavier Tillman,1630214
Sam Hauser,1630573
JD Davison,1631120
Baylor Scheierman,1631248
Jordan Walsh,1641775
Jimmy Butler,202710
Draymond Green,203110
Kevon Looney,1626172
Buddy Hield,1627741
Gary Payton II,1627780
Jonathan Kuminga,1630228
Pat Spencer,1630311
Moses Moody,1630541
Gui Santos,1630611
Trayce Jackson-Davis,1631218
Brandin Podziemski,1641764
Quinten Post,1642366
Donovan Mitchell,1628378
Jarrett Allen,1628386
Max Strus,1629622
De'Andre Hunter,1629631
Darius Garland,1629636
Ty Jerome,1629660
Dean Wade,1629731
Isaac Okoro,1630171
Evan Mobley,1630596
Kevin Knox II,1628995
Braxton Key,1630296
Jayson Tatum,1628369
Tristan Thompson,202684
Chuma Okeke,1629643
Javonte Green,1629750
Sam Merrill,1630241
Craig Porter Jr.,1641854
Jaylon Tyson,1642281
DeAndre Jordan,201599
Vlatko Cancar,1628427
Stephen Curry,201939
Steven Adams,203500
Fred VanVleet,1627832
Dillon Brooks,1628415
Jalen Green,1630224
Alperen Sengun,1630578
Jabari Smith Jr.,1631095
Tari Eason,1631106
Amen Thompson,1641708
Nicolas Batum,201587
James Harden,201935
Kawhi Leonard,202695
Bogdan Bogdanovic,203992
Norman Powell,1626181
Kris Dunn,1627739
Ivica Zubac,1627826
Derrick Jones Jr.,1627884
Drew Eubanks,1629234
Kobe Brown,1641738
Jordan Miller,1641757
Cam Christie,1642353
Jeff Green,201145
Aaron Holiday,1628988
Nate Williams,1631466
Cam Whitmore,1641715
Reed Sheppard,1642263
Tobias Harris,202699
Dennis Schroder,203471
Tim Hardaway Jr.,203501
Malik Beasley,1627736
Paul Reed,1630194
Cade Cunningham,1630595
Jalen Duren,1631105
Ausar Thompson,1641709
LeBron James,2544
Dorian Finney-Smith,1627827
Maxi Kleber,1628467
Jarred Vanderbilt,1629020
Luka Doncic,1629029
Rui Hachimura,1629060
Gabe Vincent,1629216
Austin Reaves,1630559
Jock Landale,1629111
Ben Simmons,1627732
Cory Joseph,202709
Kentavious Caldwell-Pope,203484
Gary Harris,203914
Jonathan Isaac,1628371
Wendell Carter Jr.,1628976
ga Bitadze,1629048
Cole Anthony,1630175
